,file,age
0,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1000.png,001
1,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1018.png,001
2,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1030.png,001
3,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1062.png,001
4,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1068.png,001
5,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1075.png,001
6,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1077.png,001
7,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1081.png,001
8,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1087.png,001
9,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1089.png,001
10,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\110.png,001
11,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1102.png,001
12,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1103.png,001
13,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1105.png,001
14,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1107.png,001
15,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1118.png,001
16,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1124.png,001
17,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1131.png,001
18,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1133.png,001
19,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1148.png,001
20,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1161.png,001
21,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1169.png,001
22,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1172.png,001
23,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1182.png,001
24,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1203.png,001
25,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1205.png,001
26,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1212.png,001
27,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1216.png,001
28,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1218.png,001
29,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1220.png,001
30,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1224.png,001
31,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1225.png,001
32,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1226.png,001
33,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1243.png,001
34,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1261.png,001
35,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1266.png,001
36,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1281.png,001
37,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1284.png,001
38,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1300.png,001
39,C:\Users\avasenin\.cache\kagglehub\datasets\frabbisw\facial-age\versions\1\face_age\001\1301.png,001
